Query_ID,Question,Type,Format,Run,Agent_Response,Correct,Time_Seconds,Notes,Error_Type
Q012,What is the average price of all products?,aggregation,Markdown,3,,,,,
Q012,What is the average price of all products?,aggregation,RDF,1,,,,,
Q012,What is the average price of all products?,aggregation,RDF,2,,,,,
Q012,What is the average price of all products?,aggregation,RDF,3,,,,,
Q013,What is the average price of Electronics products?,aggregation,Markdown,1,,,,,
Q013,What is the average price of Electronics products?,aggregation,Markdown,2,,,,,
Q013,What is the average price of Electronics products?,aggregation,Markdown,3,,,,,
Q013,What is the average price of Electronics products?,aggregation,RDF,1,,,,,
Q013,What is the average price of Electronics products?,aggregation,RDF,2,,,,,
Q013,What is the average price of Electronics products?,aggregation,RDF,3,,,,,
Q014,How many products are out of stock?,aggregation,Markdown,1,,,,,
Q014,How many products are out of stock?,aggregation,Markdown,2,,,,,
Q014,How many products are out of stock?,aggregation,Markdown,3,,,,,
Q014,How many products are out of stock?,aggregation,RDF,1,,,,,
Q014,How many products are out of stock?,aggregation,RDF,2,,,,,
Q014,How many products are out of stock?,aggregation,RDF,3,,,,,
Q015,What is the total inventory value?,aggregation,Markdown,1,,,,,
Q015,What is the total inventory value?,aggregation,Markdown,2,,,,,
Q015,What is the total inventory value?,aggregation,Markdown,3,,,,,
Q015,What is the total inventory value?,aggregation,RDF,1,,,,,
Q015,What is the total inventory value?,aggregation,RDF,2,,,,,
Q015,What is the total inventory value?,aggregation,RDF,3,,,,,
Q016,What is the most expensive product price?,aggregation,Markdown,1,,,,,
Q016,What is the most expensive product price?,aggregation,Markdown,2,,,,,
Q016,What is the most expensive product price?,aggregation,Markdown,3,,,,,
Q016,What is the most expensive product price?,aggregation,RDF,1,,,,,
Q016,What is the most expensive product price?,aggregation,RDF,2,,,,,
Q016,What is the most expensive product price?,aggregation,RDF,3,,,,,
Q017,What is the cheapest product price?,aggregation,Markdown,1,,,,,
Q017,What is the cheapest product price?,aggregation,Markdown,2,,,,,
Q017,What is the cheapest product price?,aggregation,Markdown,3,,,,,
Q017,What is the cheapest product price?,aggregation,RDF,1,,,,,
Q017,What is the cheapest product price?,aggregation,RDF,2,,,,,
Q017,What is the cheapest product price?,aggregation,RDF,3,,,,,
Q018,How many different brands are in the catalog?,aggregation,Markdown,1,,,,,
Q018,How many different brands are in the catalog?,aggregation,Markdown,2,,,,,
Q018,How many different brands are in the catalog?,aggregation,Markdown,3,,,,,
Q018,How many different brands are in the catalog?,aggregation,RDF,1,,,,,
Q018,How many different brands are in the catalog?,aggregation,RDF,2,,,,,
Q018,How many different brands are in the catalog?,aggregation,RDF,3,,,,,
Q019,How many products does the brand Apple have?,aggregation,Markdown,1,,,,,
Q019,How many products does the brand Apple have?,aggregation,Markdown,2,,,,,
Q019,How many products does the brand Apple have?,aggregation,Markdown,3,,,,,
Q019,How many products does the brand Apple have?,aggregation,RDF,1,,,,,
Q019,How many products does the brand Apple have?,aggregation,RDF,2,,,,,
Q019,How many products does the brand Apple have?,aggregation,RDF,3,,,,,
Q020,Which category has the most products?,aggregation,Markdown,1,,,,,
Q020,Which category has the most products?,aggregation,Markdown,2,,,,,
Q020,Which category has the most products?,aggregation,Markdown,3,,,,,
Q020,Which category has the most products?,aggregation,RDF,1,,,,,
Q020,Which category has the most products?,aggregation,RDF,2,,,,,
Q020,Which category has the most products?,aggregation,RDF,3,,,,,
Q021,What products are related to product P001?,traversal,Markdown,1,,,,,
Q021,What products are related to product P001?,traversal,Markdown,2,,,,,
Q021,What products are related to product P001?,traversal,Markdown,3,,,,,
Q021,What products are related to product P001?,traversal,RDF,1,,,,,
Q021,What products are related to product P001?,traversal,RDF,2,,,,,
Q021,What products are related to product P001?,traversal,RDF,3,,,,,
Q022,Find all products from the same brand as P010.,traversal,Markdown,1,,,,,
Q022,Find all products from the same brand as P010.,traversal,Markdown,2,,,,,
Q022,Find all products from the same brand as P010.,traversal,Markdown,3,,,,,
Q022,Find all products from the same brand as P010.,traversal,RDF,1,,,,,
Q022,Find all products from the same brand as P010.,traversal,RDF,2,,,,,
Q022,Find all products from the same brand as P010.,traversal,RDF,3,,,,,
Q023,Find all products in the same category as P020.,traversal,Markdown,1,,,,,
Q023,Find all products in the same category as P020.,traversal,Markdown,2,,,,,
Q023,Find all products in the same category as P020.,traversal,Markdown,3,,,,,
Q023,Find all products in the same category as P020.,traversal,RDF,1,,,,,
Q023,Find all products in the same category as P020.,traversal,RDF,2,,,,,
Q023,Find all products in the same category as P020.,traversal,RDF,3,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,Markdown,1,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,Markdown,2,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,Markdown,3,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,RDF,1,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,RDF,2,,,,,
Q024,Which brands make products in both Electronics and Clothing?,traversal,RDF,3,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,Markdown,1,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,Markdown,2,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,Markdown,3,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,RDF,1,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,RDF,2,,,,,
Q025,Find products with similar prices to P005 (within 10% range).,traversal,RDF,3,,,,,
Q026,What products share related products with P001?,traversal,Markdown,1,,,,,
Q026,What products share related products with P001?,traversal,Markdown,2,,,,,
Q026,What products share related products with P001?,traversal,Markdown,3,,,,,
Q026,What products share related products with P001?,traversal,RDF,1,,,,,
Q026,What products share related products with P001?,traversal,RDF,2,,,,,
Q026,What products share related products with P001?,traversal,RDF,3,,,,,
Q027,Find brands that have products priced over $1000.,traversal,Markdown,1,,,,,
Q027,Find brands that have products priced over $1000.,traversal,Markdown,2,,,,,
Q027,Find brands that have products priced over $1000.,traversal,Markdown,3,,,,,
Q027,Find brands that have products priced over $1000.,traversal,RDF,1,,,,,
Q027,Find brands that have products priced over $1000.,traversal,RDF,2,,,,,
Q027,Find brands that have products priced over $1000.,traversal,RDF,3,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,Markdown,1,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,Markdown,2,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,Markdown,3,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,RDF,1,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,RDF,2,,,,,
Q028,Which products in the Electronics category are from the brand Canon?,traversal,RDF,3,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,Markdown,1,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,Markdown,2,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,Markdown,3,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,RDF,1,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,RDF,2,,,,,
Q029,Find the top 3 most expensive products in the Sports category.,traversal,RDF,3,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,Markdown,1,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,Markdown,2,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,Markdown,3,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,RDF,1,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,RDF,2,,,,,
Q030,How many products does each brand have for brands with more than 5 products?,traversal,RDF,3,,,,,
